SpatialDimensionValueCode,TimeDim,NumericValue
BDI,2001,10.31957
BDI,2002,9.82127
BDI,2003,9.36143
BDI,2004,9.02145
BDI,2005,8.41991
BDI,2006,8.14947
BDI,2007,7.66903
BDI,2008,7.23824
BDI,2009,7.28705
BDI,2010,7.31448
BDI,2011,7.20615
BDI,2012,7.07416
BDI,2013,7.04441
BDI,2014,7.07799
BDI,2015,6.88431
BDI,2016,6.98255
BDI,2017,6.97722
BDI,2018,6.93862
BDI,2019,6.88138
BDI,2020,6.67431
BDI,2021,7.65168
BEL,2000,22.06645
BEL,2001,22.25492
BEL,2002,20.96137
BEL,2003,21.44371
BEL,2004,20.31948
BEL,2005,20.66397
BEL,2006,20.28559
BEL,2007,18.73565
BEL,2008,20.23714
BEL,2009,20.56384
BEL,2010,20.52935
BEL,2011,21.21335
BEL,2012,20.89961
BEL,2013,19.61949
BEL,2014,19.41666
BEL,2015,18.60678
BEL,2016,19.21829
BEL,2017,18.40323
BEL,2018,18.57659
BEL,2019,18.1104
BEL,2020,16.88794
BEL,2021,18.36102
BEN,2000,6.69739
BEN,2001,6.62124
BEN,2002,6.84801
BEN,2003,6.76671
BEN,2004,6.79441
BEN,2005,6.76492
BEN,2006,6.74913
BEN,2007,6.77424
BEN,2008,7.01397
BEN,2009,7.24243
BEN,2010,7.36828
BEN,2011,7.43514
BEN,2012,7.42161
BEN,2013,7.33748
BEN,2014,7.29418
BEN,2015,7.39121
BEN,2016,7.31965
BEN,2017,7.2571
BEN,2018,7.20569
BEN,2019,7.22707
BEN,2020,6.89355
BEN,2021,7.12388
BFA,2000,9.03834
BFA,2001,9.12591
BFA,2002,8.85036
BFA,2003,8.7698
BFA,2004,8.68672
BFA,2005,8.57446
BFA,2006,8.56656
BFA,2007,8.47183
BFA,2008,8.57294
BFA,2009,8.65043
BFA,2010,8.69207
BFA,2011,8.54921
BFA,2012,8.94587
BFA,2013,9.0009
BFA,2014,8.86105
BFA,2015,8.84057
BFA,2016,8.82963
BFA,2017,8.7624
BFA,2018,8.64182
BFA,2019,8.44706
BFA,2020,8.30069
BFA,2021,8.49869
BGD,2000,4.80534
BGD,2001,4.66727
BGD,2002,4.56558
BGD,2003,4.39039
BGD,2004,4.11511
BGD,2005,4.23275
BGD,2006,4.29861
BGD,2007,4.10106
BGD,2008,3.94317
BGD,2009,3.91014
BGD,2010,3.72001
BGD,2011,3.28984
BGD,2012,3.11671
BGD,2013,3.02204
BGD,2014,3.00749
BGD,2015,2.96653
BGD,2016,2.98126
BGD,2017,3.08578
BGD,2018,3.05875
BGD,2019,3.08083
BGD,2020,2.80967
BGD,2021,2.81182
BGR,2000,18.22021
BGR,2001,17.30853
BGR,2002,17.32648
BGR,2003,14.9748
BGR,2004,14.17071
BGR,2005,13.2427
BGR,2006,13.29684
BGR,2007,12.37329
BGR,2008,13.05868
BGR,2009,12.30299
BGR,2010,12.39917
BGR,2011,11.06691
BGR,2012,12.63208
BGR,2013,10.57558
BGR,2014,10.56602
BGR,2015,9.95401
BGR,2016,9.71233
BGR,2017,10.3488
BGR,2018,9.72825
BGR,2019,9.02124
BGR,2020,10.03017
BGR,2021,9.5109
BHR,2000,10.84957
BHR,2001,10.99441
BHR,2002,10.25483
BHR,2003,10.4627
BHR,2004,10.17487
BHR,2005,9.48312
BHR,2006,7.44923
BHR,2007,7.14905
BHR,2008,6.7899
BHR,2009,6.00112
BHR,2010,5.60263
BHR,2011,5.54955
BHR,2012,5.78617
BHR,2013,5.58608
BHR,2014,5.61656
BHR,2015,5.27012
BHR,2016,5.82355
BHR,2017,6.00125
BHR,2018,5.97147
BHR,2019,5.37217
BHR,2020,5.47822
BHR,2021,4.65901
BHS,2000,3.50048
BHS,2001,3.26657
BHS,2002,3.03577
BHS,2003,3.26934
BHS,2004,3.43084
BHS,2005,3.13026
BHS,2006,3.34811
BHS,2007,3.2337
BHS,2008,3.29789
BHS,2009,3.48192
BHS,2010,3.83368
BHS,2011,3.80774
BHS,2012,3.58825
BHS,2013,3.40142
BHS,2014,3.58804
BHS,2015,3.42045
BHS,2016,3.65062
