SpatialDimensionValueCode,TimeDim,NumericValue
PRK,2012,9.96371
PRY,2008,3.85899
HRV,2010,18.03196
RUS,2020,21.01111
SLB,2001,16.76361
LAO,2003,5.09066
PSE,2007,0.62861
YEM,2013,4.83012
HND,2010,3.02535
GNB,2010,7.20604
URY,2019,23.39972
SUR,2019,26.32407
PHL,2009,2.81715
LKA,2004,25.17738
NOR,2004,12.09697
CAN,2019,12.68958
KAZ,2015,21.597
ALB,2007,7.02967
MNE,2011,14.21247
LTU,2002,47.57504
WB_UMI,2021,7.89082
BDI,2015,6.88431
MDG,2012,5.81206
CYP,2006,3.31114
WB_LI,2012,6.03577
ARM,2004,3.92253
VEN,2001,6.79336
SEN,2016,7.05244
LBR,2001,4.98547
HND,2012,5.41184
TUR,2005,2.845
SLB,2005,17.43873
QAT,2020,5.27944
ATG,2006,0.46941
ZAF,2020,21.09958
GNQ,2017,7.23484
SEAR,2001,12.02914
AZE,2019,1.83292
BGD,2020,2.80967
FIN,2008,20.55969
RWA,2020,7.8869
MLT,2015,7.02705
HRV,2004,19.94916
CHE,2018,14.25457
DOM,2019,5.82971
GTM,2014,5.09492
SLE,2020,5.40479
EST,2016,15.04698
GRC,2000,3.39333
MNG,2008,18.50017
IND,2001,15.09715
NIC,2021,4.24405
RWA,2002,10.9872
VNM,2014,7.48169
BEN,2002,6.84801
GBR,2007,7.54235
ATG,2009,0.0
PRK,2001,8.45139
MDV,2020,1.93177
SVN,2020,17.73742
TUR,2007,2.86908
CIV,2005,5.17689
NAM,2006,9.95185
MWI,2001,7.32472
EUR,2018,13.52564
VCT,2019,0.31733
MMR,2003,3.82949
BWA,2019,8.98617
NPL,2004,9.40889
NLD,2012,10.72222
TTO,2021,13.34411
GMB,2014,4.86774
GTM,2008,6.63717
ETH,2002,6.88513
DNK,2006,14.67629
VUT,2016,16.19634
BDI,2016,6.98255
MNE,2008,14.39695
LAO,2002,5.42914
BRN,2018,2.72247
DZA,2007,3.04119
TGO,2012,9.68363
MDG,2009,5.91925
UKR,2012,24.29951
NGA,2001,5.37127
GNQ,2010,6.68472
ARE,2017,2.48125
AUS,2002,12.15223
KWT,2002,4.52096
KOR,2013,31.2071
BEN,2009,7.24243
IDN,2010,1.81948
MUS,2003,7.86258
MMR,2001,3.86758
SYC,2018,7.90273
ATG,2019,0.0
GHA,2019,5.28584
BLR,2006,37.47523
IRL,2016,9.63231
AGO,2009,7.24214
BTN,2005,5.82788
MWI,2017,6.85283
SWE,2020,13.36228
ARG,2007,8.30691
KHM,2003,3.98017
ARE,2008,2.13211
VCT,2003,5.63113
KOR,2004,26.20925
ATG,2014,0.46742
SYC,2009,7.04274
GUY,2016,34.25037
FSM,2002,20.80843
RWA,2014,7.75758
NAM,2016,8.01852
GTM,2006,8.76577
PER,2019,2.19134
NZL,2015,11.94135
FSM,2012,22.31812
POL,2021,13.66797
POL,2013,18.24518
ZMB,2014,5.64977
MLT,2017,5.18167
KEN,2010,5.88479
SYR,2015,0.61046
MAR,2016,3.46054
ZAF,2019,20.14031
MMR,2004,3.84268
SWE,2002,15.56698
COM,2003,6.18856
BHS,2008,3.29789
SLV,2016,10.17144
RUS,2021,21.37479
EGY,2021,0.62968
WSM,2020,11.97106
KOR,2018,28.28214
ESP,2002,8.32951
LTU,2008,38.15835
JPN,2000,24.11656
BHR,2014,5.61656
DJI,2020,7.88643
TTO,2010,11.7463
ARM,2021,2.45847
NPL,2009,9.66769
SUR,2001,22.60005
TLS,2021,3.55903
EUR,2021,12.42682
SOM,2005,8.44746
LSO,2012,21.71384
SWE,2016,14.02348
LBN,2018,0.69677
PHL,2006,2.4431
ESP,2012,7.74195
KHM,2018,4.44374
BIH,2021,8.97169
AGO,2018,7.15116
LAO,2004,4.98093
LCA,2020,7.33712
PRI,2008,7.87972
VCT,2018,0.0
AUS,2018,13.40378
UKR,2020,22.11994
TZA,2000,5.38798
GHA,2020,5.07626
SRB,2012,19.44123
ETH,2013,5.07589
USA,2014,14.09547
MOZ,2001,6.27612
LBN,2013,0.85214
RWA,2007,8.01257
PER,2005,0.77221
DJI,2010,6.31128
CPV,2011,14.69084
GNQ,2016,7.08937
MDV,2001,2.86675
RWA,2004,8.64269
GNB,2019,7.37828
EUR,2003,20.15372
PAN,2009,4.79764
CZE,2020,12.72753
COD,2016,8.37074
KHM,2017,4.44295
MDV,2011,2.71652
MOZ,2007,7.5819
ESP,2003,8.47114
BFA,2010,8.69207
BRB,2011,4.28669
COM,2005,5.88422
SDN,2011,3.6738
BEN,2007,6.77424
BDI,2017,6.97722
NER,2012,4.40495
BHR,2005,9.48312
CIV,2007,5.48377
SEN,2013,7.03675
TTO,2000,15.61088
BRN,2015,1.37039
TCD,2019,5.26066
ECU,2016,8.8261
AMR,2019,9.73105
MNE,2002,15.92822
PRT,2018,11.83395
ZWE,2015,14.48262
UKR,2021,21.2133
TUR,2011,3.10776
MYS,2015,4.78968
COM,2014,6.41728
TZA,2002,4.98607
AMR,2006,7.91831
SVN,2012,21.75835
PRK,2004,8.24693
NER,2019,4.54444
RUS,2016,30.19818
ERI,2012,13.14359
ATG,2016,0.58012
CMR,2008,8.0165
DNK,2000,15.54266
QAT,2009,9.95335
ISR,2013,5.0944
BRN,2019,2.49215
UZB,2009,11.58948
TJK,2000,3.66687
PRI,2019,5.71605
AFR,2009,6.75332
AFG,2018,3.55774
BRA,2016,6.24754
PHL,2002,1.95617
CAF,2006,11.29942
BWA,2000,12.08191
VUT,2009,17.24357
AFR,2015,6.82011
SEAR,2008,12.21544
PRI,2005,7.49916
GAB,2004,8.15643
FRA,2005,19.17332
BEL,2008,20.23714
LSO,2017,26.06679
ALB,2021,2.7547
GMB,2000,4.65647
TUR,2004,2.79122
GRC,2017,4.9974
CHN,2015,8.68894
LKA,2005,25.40251
IRL,2010,12.08278
SUR,2010,24.32262
VUT,2000,17.35038
WB_LMI,2001,10.42972
SDN,2019,3.39211
LTU,2006,35.40331
SVN,2003,29.65234
MDG,2019,5.95713
TON,2001,5.06004
ROU,2003,13.43663
BHR,2004,10.17487
CAF,2004,11.43077
KHM,2004,4.13978
PRY,2006,4.54866
AZE,2012,2.49316
MNE,2005,15.73073
ZWE,2012,14.20988
IDN,2009,1.85721
COL,2013,3.72119
MUS,2012,9.95467
KWT,2010,1.34186
KEN,2018,6.52881
LBY,2007,4.13919
MRT,2011,2.64307
BRB,2014,4.29346
ITA,2007,6.7484
GRD,2009,1.43721
GAB,2006,9.20004
NZL,2012,12.62726
ARE,2009,2.35056
LTU,2021,22.12234
WB_LMI,2011,10.46749
BWA,2010,16.46464
LVA,2014,20.91631
MUS,2001,10.19024
SLB,2008,21.07332
STP,2016,0.84635
WB_LI,2019,6.26771
FSM,2001,21.24975
PSE,2016,0.64855
DJI,2000,5.2827
BOL,2005,6.32857
AGO,2020,7.40921
UGA,2014,4.7738
GNQ,2001,8.42566
CZE,2012,16.69981
GRD,2008,3.40525
ZMB,2007,6.2141
CRI,2015,6.37212
WPR,2000,14.68242
MRT,2017,2.76289
FIN,2013,17.20118
PHL,2012,2.9162
KOR,2000,15.06061
SRB,2005,21.92896
LBY,2016,5.61871
ECU,2010,7.98604
LAO,2015,4.68867
GBR,2020,8.90109
LCA,2006,6.88706
AFG,2019,3.52831
HUN,2005,26.35011
IRL,2005,11.88746
LAO,2001,5.66562
TTO,2007,11.23728
MNE,2016,12.71647
SWZ,2001,13.91475
SEAR,2015,11.37474
GNB,2003,7.32662
PAK,2007,6.85945
LBY,2005,4.27791
BRA,2019,6.70782
ISR,2014,4.97681
ATG,2000,2.04436
MUS,2000,12.13652
CRI,2002,6.5299
ALB,2005,6.79668
DJI,2017,8.09011
MKD,2000,7.44519
CYP,2005,2.35992
ZMB,2008,6.10809
MOZ,2009,8.60645
RWA,2003,9.76146
CZE,2018,13.58777
HUN,2011,25.23176
TON,2006,4.72906
MUS,2021,10.52019
SGP,2019,8.42156
FSM,2009,21.86309
IND,2006,15.85648
SLV,2009,9.62112
SGP,2009,10.27142
UGA,2006,6.01793
CPV,2010,14.5957
PRK,2020,9.28807
DNK,2018,11.20116
LBR,2016,5.82739
PSE,2015,0.76045
BLR,2016,20.88461
CAN,2021,9.44161
DJI,2014,7.5928
LBR,2006,5.07396
JOR,2003,1.90306
FRA,2006,18.45781
